0.0,0.0,256.0
0.0,0.05,269.8525
0.0,0.1,283.71
0.0,0.15,297.5725
0.0,0.2,311.44
0.0,0.25,325.3125
0.0,0.3,339.19
0.0,0.35,353.0725
0.0,0.4,366.96
0.0,0.45,380.8525
0.0,0.5,394.75
0.0,0.55,408.6525
0.0,0.6,422.56
0.0,0.65,436.4725
0.0,0.7,450.39
0.0,0.75,464.3125
0.0,0.8,478.24
0.0,0.85,492.1725
0.0,0.9,506.11
0.0,0.95,520.0525
0.0,1.0,534.0
0.05,0.0,340.2025
0.05,0.05,354.055
0.05,0.1,367.9125
0.05,0.15,381.775
0.05,0.2,395.6425
0.05,0.25,409.515
0.05,0.3,423.3925
0.05,0.35,437.275
0.05,0.4,451.1625
0.05,0.45,465.055
0.05,0.5,478.9525
0.05,0.55,492.855
0.05,0.6,506.7625
0.05,0.65,520.675
0.05,0.7,534.5925
0.05,0.75,548.515
0.05,0.8,562.4425
0.05,0.85,576.375
0.05,0.9,590.3125
0.05,0.95,604.255
0.05,1.0,618.2025
0.1,0.0,426.31
0.1,0.05,440.1625
0.1,0.1,454.02
0.1,0.15,467.8825
0.1,0.2,481.75
0.1,0.25,495.6225
0.1,0.3,509.5
0.1,0.35,523.3825
0.1,0.4,537.27
0.1,0.45,551.1625
0.1,0.5,565.06
0.1,0.55,578.9625
0.1,0.6,592.87
0.1,0.65,606.7825
0.1,0.7,620.7
0.1,0.75,634.6225
0.1,0.8,648.55
0.1,0.85,662.4825
0.1,0.9,676.42
0.1,0.95,690.3625
0.1,1.0,704.31
0.15,0.0,514.3225
0.15,0.05,528.175
0.15,0.1,542.0325
0.15,0.15,555.895
0.15,0.2,569.7625
0.15,0.25,583.635
0.15,0.3,597.5125
0.15,0.35,611.395
0.15,0.4,625.2825
0.15,0.45,639.175
0.15,0.5,653.0725
0.15,0.55,666.975
0.15,0.6,680.8825
0.15,0.65,694.795
0.15,0.7,708.7125
0.15,0.75,722.635
0.15,0.8,736.5625
0.15,0.85,750.495
0.15,0.9,764.4325
0.15,0.95,778.375
0.15,1.0,792.3225
0.2,0.0,604.24
0.2,0.05,618.0925
0.2,0.1,631.95
0.2,0.15,645.8125
0.2,0.2,659.68
0.2,0.25,673.5525
0.2,0.3,687.43
0.2,0.35,701.3125
0.2,0.4,715.2
0.2,0.45,729.0925
0.2,0.5,742.99
0.2,0.55,756.8925
0.2,0.6,770.8
0.2,0.65,784.7125
0.2,0.7,798.63
0.2,0.75,812.5525
0.2,0.8,826.48
0.2,0.85,840.4125
0.2,0.9,854.35
0.2,0.95,868.2925
0.2,1.0,882.24
0.25,0.0,696.0625
0.25,0.05,709.915
0.25,0.1,723.7725
0.25,0.15,737.635
0.25,0.2,751.5025
0.25,0.25,765.375
0.25,0.3,779.2525
0.25,0.35,793.135
0.25,0.4,807.0225
0.25,0.45,820.915
0.25,0.5,834.8125
0.25,0.55,848.715
0.25,0.6,862.6225
0.25,0.65,876.535
0.25,0.7,890.4525
0.25,0.75,904.375
0.25,0.8,918.3025
0.25,0.85,932.235
0.25,0.9,946.1725
0.25,0.95,960.115
0.25,1.0,974.0625
0.3,0.0,789.79
0.3,0.05,803.6425
0.3,0.1,817.5
0.3,0.15,831.3625
0.3,0.2,845.23
0.3,0.25,859.1025
0.3,0.3,872.98
0.3,0.35,886.8625
0.3,0.4,900.75
0.3,0.45,914.6425
0.3,0.5,928.54
0.3,0.55,942.4425
0.3,0.6,956.35
0.3,0.65,970.2625
0.3,0.7,984.18
0.3,0.75,998.1025
0.3,0.8,1012.03
0.3,0.85,1025.9625
0.3,0.9,1039.9
0.3,0.95,1053.8425
0.3,1.0,1067.79
0.35,0.0,885.4225
0.35,0.05,899.275
0.35,0.1,913.1325
0.35,0.15,926.995
0.35,0.2,940.8625
0.35,0.25,954.735
0.35,0.3,968.6125
0.35,0.35,982.495
0.35,0.4,996.3825
0.35,0.45,1010.275
0.35,0.5,1024.1725
0.35,0.55,1038.075
0.35,0.6,1051.9825
0.35,0.65,1065.895
0.35,0.7,1079.8125
0.35,0.75,1093.735
0.35,0.8,1107.6625
0.35,0.85,1121.595
0.35,0.9,1135.5325
0.35,0.95,1149.475
0.35,1.0,1163.4225
0.4,0.0,982.96
