0.0,3384.25
0.01,3404.81662
0.02,3425.73656
0.03,3447.00994
0.04,3468.63688
0.05,3490.6175
0.06,3512.95192
0.07,3535.64026
0.08,3558.68264
0.09,3582.07918
0.1,3605.83
0.11,3629.93522
0.12,3654.39496
0.13,3679.20934
0.14,3704.37848
0.15,3729.9025
0.16,3755.78152
0.17,3782.01566
0.18,3808.60504
0.19,3835.54978
0.2,3862.85
0.21,3890.50582
0.22,3918.51736
0.23,3946.88474
0.24,3975.60808
0.25,4004.6875
0.26,4034.12312
0.27,4063.91506
0.28,4094.06344
0.29,4124.56838
0.3,4155.43
0.31,4186.64842
0.32,4218.22376
0.33,4250.15614
0.34,4282.44568
0.35,4315.0925
0.36,4348.09672
0.37,4381.45846
0.38,4415.17784
0.39,4449.25498
0.4,4483.69
0.41,4518.48302
0.42,4553.63416
0.43,4589.14354
0.44,4625.01128
0.45,4661.2375
0.46,4697.82232
0.47,4734.76586
0.48,4772.06824
0.49,4809.72958
0.5,4847.75
0.51,4886.12962
0.52,4924.86856
0.53,4963.96694
0.54,5003.42488
0.55,5043.2425
0.56,5083.41992
0.57,5123.95726
0.58,5164.85464
0.59,5206.11218
0.6,5247.73
0.61,5289.70822
0.62,5332.04696
0.63,5374.74634
0.64,5417.80648
0.65,5461.2275
0.66,5505.00952
0.67,5549.15266
0.68,5593.65704
0.69,5638.52278
0.7,5683.75
0.71,5729.33882
0.72,5775.28936
0.73,5821.60174
0.74,5868.27608
0.75,5915.3125
0.76,5962.71112
0.77,6010.47206
0.78,6058.59544
0.79,6107.08138
0.8,6155.93
0.81,6205.14142
0.82,6254.71576
0.83,6304.65314
0.84,6354.95368
0.85,6405.6175
0.86,6456.64472
0.87,6508.03546
0.88,6559.78984
0.89,6611.90798
0.9,6664.39
0.91,6717.23602
0.92,6770.44616
0.93,6824.02054
0.94,6877.95928
0.95,6932.2625
0.96,6986.93032
0.97,7041.96286
0.98,7097.36024
0.99,7153.12258
